company,email,name,role,category,notes
Paula's Choice,press@paulaschoice.com,PR Team,PR / Partnerships,Beauty,Brand press inbox | Domain: paulaschoice.com
Biossance,press@biossance.com,PR Team,PR / Partnerships,Beauty,Brand press inbox | Domain: biossance.com
Youth to the People,press@youthtothepeople.com,PR Team,PR / Partnerships,Beauty,Brand press inbox | Domain: youthtothepeople.com
Crown Affair,,,,Beauty,No email found. Domain: crownaffair.com. Try LinkedIn or press page manually.
K18,press@k18hair.com,PR Team,PR / Partnerships,Beauty,Alt: hello@k18hair.com | Domain: k18hair.com
Color Wow,press@colorwowhair.com,PR Team,PR / Partnerships,Beauty,Alt: hello@colorwowhair.com | Domain: colorwowhair.com
Amika,pr@loveamika.com,PR Team,PR / Partnerships,Beauty,Haircare PR | Domain: loveamika.com
OUAI,partnerships@theouai.com,PR Team,PR / Partnerships,Beauty,Alt: team@theouai.com | Domain: theouai.com
Gisou,press@gisou.com,PR Team,PR / Partnerships,Beauty,Alt: partnerships@gisou.com | Domain: gisou.com
Kerastase,,,,Beauty,No email found. Domain: kerastase-usa.com. Try LinkedIn or press page manually.
Redken,,,,Beauty,No email found. Domain: redken.com. Try LinkedIn or press page manually.
Pureology,,,,Beauty,No email found. Domain: pureology.com. Try LinkedIn or press page manually.
Living Proof,press@livingproof.com,PR Team,PR / Partnerships,Beauty,Haircare press | Domain: livingproof.com
BondiBoost,,,,Beauty,No email found. Domain: bondiboost.com. Try LinkedIn or press page manually.
Dae,hello@daehair.com,PR Team,PR / Partnerships,Beauty,Haircare general inbox | Domain: daehair.com
Shark Beauty,,,,Beauty,No email found. Domain: sharkbeauty.com. Try LinkedIn or press page manually.
Alo Yoga,partnerships@aloyoga.com,PR Team,PR / Partnerships,Fashion,Creator partnerships | Domain: aloyoga.com
Vuori,partnerships@vuoriclothing.com,PR Team,PR / Partnerships,Fashion,Creator partnerships | Domain: vuoriclothing.com
Lululemon,ambassadors@lululemon.com,PR Team,PR / Partnerships,Fashion,Ambassador program inbox | Domain: lululemon.com
Beyond Yoga,collabs@beyondyoga.com,PR Team,PR / Partnerships,Fashion,Collaborations inbox | Domain: beyondyoga.com
Set Active,partnerships@setactive.co,PR Team,PR / Partnerships,Fashion,Fitness apparel partnerships | Domain: setactive.co
Year of Ours,,,,Fashion,No email found. Domain: yearofours.com. Try LinkedIn or press page manually.
Splits59,,,,Fashion,No email found. Domain: splits59.com. Try LinkedIn or press page manually.
Bandit Running,,,,Fashion,No email found. Domain: banditrunning.com. Try LinkedIn or press page manually.
Bala,,,,Fashion,No email found. Domain: shopbala.com. Try LinkedIn or press page manually.
Cymbiotika,,,,Lifestyle,No email found. Domain: cymbiotika.com. Try LinkedIn or press page manually.
LMNT,partnerships@drinklmnt.com,PR Team,PR / Partnerships,Food & Dining,Creator partnerships | Domain: drinklmnt.com
Liquid I.V.,partnerships@liquid-iv.com,PR Team,PR / Partnerships,Food & Dining,Brand partnerships | Domain: liquid-iv.com
Waterboy,,,,Food & Dining,No email found. Domain: drinkwaterboy.com. Try LinkedIn or press page manually.
Cure Hydration,ambassador@curehydration.com,PR Team,PR / Partnerships,Food & Dining,Ambassador inbox | Domain: curehydration.com
Poppi,press@drinkpoppi.com,PR Team,PR / Partnerships,Food & Dining,CPG press | Domain: drinkpoppi.com
Olipop,press@drinkolipop.com,PR Team,PR / Partnerships,Food & Dining,CPG press | Domain: drinkolipop.com
Bloom Nutrition,gifting@bloomnu.com,PR Team,PR / Partnerships,Food & Dining,Gifting/creator inbox | Domain: bloomnu.com
Grüns,press@gruns.co,PR Team,PR / Partnerships,Food & Dining,Press inbox | Domain: gruns.co
Aritzia,,,,Fashion,No email found. Domain: aritzia.com. Try LinkedIn or press page manually.
Abercrombie,,,,Fashion,No email found. Domain: abercrombie.com. Try LinkedIn or press page manually.
Free People,,,,Fashion,No email found. Domain: freepeople.com. Try LinkedIn or press page manually.
Anthropologie,,,,Fashion,No email found. Domain: anthropologie.com. Try LinkedIn or press page manually.
Steve Madden,,,,Fashion,No email found. Domain: stevemadden.com. Try LinkedIn or press page manually.
Jenny Bird,pr@jenny-bird.com,PR Team,PR / Partnerships,Fashion,Jewelry PR | Domain: jenny-bird.com
Siggi's,,,,Food & Dining,No email found. Domain: siggis.com. Try LinkedIn or press page manually.
JW PEI,,,,Fashion,No email found. Domain: jwpei.com. Try LinkedIn or press page manually.
Chobani,,,,Food & Dining,No email found. Domain: chobani.com. Try LinkedIn or press page manually.
Oikos,,,,Food & Dining,No email found. Domain: oikosyogurt.com. Try LinkedIn or press page manually.
Good Culture,,,,Food & Dining,No email found. Domain: goodculture.com. Try LinkedIn or press page manually.
Vital Farms,press@vitalfarms.com,PR Team,PR / Partnerships,Food & Dining,Food PR | Domain: vitalfarms.com
Quest,,,,Food & Dining,No email found. Domain: questnutrition.com. Try LinkedIn or press page manually.
Barebells,,,,Food & Dining,No email found. Domain: barebells.com. Try LinkedIn or press page manually.
Legendary Foods,,,,Food & Dining,No email found. Domain: eatlegendary.com. Try LinkedIn or press page manually.
Magic Spoon,partnerships@magicspoon.com,PR Team,PR / Partnerships,Food & Dining,Alt: influencers@magicspoon.com | Domain: magicspoon.com
Catalina Crunch,,,,Food & Dining,No email found. Domain: catalinacrunch.com. Try LinkedIn or press page manually.
Perfect Bar,,,,Food & Dining,No email found. Domain: perfectsnacks.com. Try LinkedIn or press page manually.
RXBAR,,,,Food & Dining,No email found. Domain: rxbar.com. Try LinkedIn or press page manually.
Koia,info@drinkkoia.com,PR Team,PR / Partnerships,Food & Dining,Domain: drinkkoia.com
OWYN,info@liveowyn.com,PR Team,PR / Partnerships,Food & Dining,Domain: liveowyn.com
Core Power,,,,Food & Dining,No email found. Domain: fairlife.com. Try LinkedIn or press page manually.
Fairlife,,,,Food & Dining,No email found. Domain: fairlife.com. Try LinkedIn or press page manually.
Alani Nu,partnerships@alani-nu.com,PR Team,PR / Partnerships,Food & Dining,Fitness/wellness partnerships | Domain: alani-nu.com
Celsius,partnerships@celsius.com,PR Team,PR / Partnerships,Food & Dining,Brand partnerships | Domain: celsius.com
Spindrift,,,,Food & Dining,No email found. Domain: spindriftfresh.com. Try LinkedIn or press page manually.
LaCroix,,,,Food & Dining,No email found. Domain: lacroixwater.com. Try LinkedIn or press page manually.
SmartSweets,partnerships@smartsweets.com,PR Team,PR / Partnerships,Food & Dining,Creator partnerships | Domain: smartsweets.com
LesserEvil,,,,Food & Dining,No email found. Domain: lesserevil.com. Try LinkedIn or press page manually.
Banza,press@eatbanza.com,PR Team,PR / Partnerships,Food & Dining,Food brand press | Domain: eatbanza.com
Siete,partnerships@sietefoods.com,PR Team,PR / Partnerships,Food & Dining,Alt: hola@sietefoods.com | Domain: sietefoods.com
Daily Harvest,press@daily-harvest.com,PR Team,PR / Partnerships,Food & Dining,Press inbox | Domain: daily-harvest.com
Factor,,,,Food & Dining,No email found. Domain: factor75.com. Try LinkedIn or press page manually.
Equinox,,,,Lifestyle,No email found. Domain: equinox.com. Try LinkedIn or press page manually.
Lifetime,,,,Lifestyle,No email found. Domain: lifetime.life. Try LinkedIn or press page manually.
Béis,pr@beistravel.com,PR Team,PR / Partnerships,Lifestyle,Travel brand PR | Domain: beistravel.com
Headspace,,,,Lifestyle,No email found. Domain: headspace.com. Try LinkedIn or press page manually.
The Ordinary,,,,Beauty,No email found. Domain: theordinary.com. Try LinkedIn or press page manually.
Drunk Elephant,press@drunkelephant.com,PR Team,PR / Partnerships,Beauty,Shiseido brand press | Domain: drunkelephant.com
Tatcha,press@tatcha.com,PR Team,PR / Partnerships,Beauty,Unilever prestige press | Domain: tatcha.com
Supergoop!,press@supergoop.com,PR Team,PR / Partnerships,Beauty,SPF brand press | Domain: supergoop.com
Dermalogica,press@dermalogica.com,PR Team,PR / Partnerships,Beauty,Pro skincare press | Domain: dermalogica.com
DIME Beauty,,,,Beauty,No email found. Domain: dimebeautyco.com. Try LinkedIn or press page manually.
CeraVe,,,,Beauty,No email found. Domain: cerave.com. Try LinkedIn or press page manually.
TULA Skincare,,,,Beauty,No email found. Domain: tula.com. Try LinkedIn or press page manually.
Good Molecules,,,,Beauty,No email found. Domain: goodmolecules.com. Try LinkedIn or press page manually.
La Roche-Posay,,,,Beauty,No email found. Domain: laroche-posay.us. Try LinkedIn or press page manually.
Hero Cosmetics,press@herocosmetics.us,PR Team,PR / Partnerships,Beauty,Brand press | Domain: herocosmetics.us
Kiehl's Since 1851,,,,Beauty,No email found. Domain: kiehls.com. Try LinkedIn or press page manually.
La Mer,,,,Beauty,No email found. Domain: lamer.com. Try LinkedIn or press page manually.
Innisfree,,,,Beauty,No email found. Domain: innisfree.com. Try LinkedIn or press page manually.
belif,,,,Beauty,No email found. Domain: belifusa.com. Try LinkedIn or press page manually.
Then I Met You,press@thenimetyou.com,PR Team,PR / Partnerships,Beauty,K-beauty press | Domain: thenimetyou.com
Topicals,press@mytopicals.com,PR Team,PR / Partnerships,Beauty,Creator/press inbox | Domain: mytopicals.com
Josie Maran,,,,Beauty,No email found. Domain: josiemaran.com. Try LinkedIn or press page manually.
Ole Henriksen,,,,Beauty,No email found. Domain: olehenriksen.com. Try LinkedIn or press page manually.
Caudalie,pr.us@caudalie.com,PR Team,PR / Partnerships,Beauty,US PR inbox | Domain: us.caudalie.com
Fresh,,,,Beauty,No email found. Domain: fresh.com. Try LinkedIn or press page manually.
Peter Thomas Roth,,,,Beauty,No email found. Domain: peterthomasroth.com. Try LinkedIn or press page manually.
Murad,,,,Beauty,No email found. Domain: murad.com. Try LinkedIn or press page manually.
Origins,,,,Beauty,No email found. Domain: origins.com. Try LinkedIn or press page manually.
Kopari,press@koparibeauty.com,PR Team,PR / Partnerships,Beauty,Brand press | Domain: koparibeauty.com
Peace Out Skincare,press@peaceoutinc.com,PR Team,PR / Partnerships,Beauty,Alt: partnerships@peaceoutinc.com | Domain: peaceoutskincare.com
Kate Somerville,,,,Beauty,No email found. Domain: katesomerville.com. Try LinkedIn or press page manually.
Dr. Jart+,press@drjart.com,PR Team,PR / Partnerships,Beauty,Estee Lauder brand press | Domain: drjart.com
Beauty of Joseon,,,,Beauty,No email found. Domain: beautyofjoseon.com. Try LinkedIn or press page manually.
ANUA,,,,Beauty,No email found. Domain: anua.us. Try LinkedIn or press page manually.
COSRX,,,,Beauty,No email found. Domain: cosrx.com. Try LinkedIn or press page manually.
Medicube,hello@medicube.us,PR Team,PR / Partnerships,Beauty,Domain: medicube.us
TIRTIR,,,,Beauty,No email found. Domain: tirtir.com. Try LinkedIn or press page manually.
Biodance,,,,Beauty,No email found. Domain: biodance.com. Try LinkedIn or press page manually.
Byoma,press@byoma.com,PR Team,PR / Partnerships,Beauty,Skincare press | Domain: byoma.com
Bubble,press@hellobubble.com,PR Team,PR / Partnerships,Beauty,Gen Z skincare press | Domain: hellobubble.com
The INKEY List,,,,Beauty,No email found. Domain: theinkeylist.com. Try LinkedIn or press page manually.
Elemis,,,,Beauty,No email found. Domain: elemis.com. Try LinkedIn or press page manually.
Clinique Skincare,,,,Beauty,No email found. Domain: clinique.com. Try LinkedIn or press page manually.
Estée Lauder Skincare,,,,Beauty,No email found. Domain: esteelauder.com. Try LinkedIn or press page manually.
Lancôme Skincare,,,,Beauty,No email found. Domain: lancome-usa.com. Try LinkedIn or press page manually.
Shiseido Skincare,,,,Beauty,No email found. Domain: shiseido.com. Try LinkedIn or press page manually.
Clarins,,,,Beauty,No email found. Domain: clarinsusa.com. Try LinkedIn or press page manually.
Mario Badescu,,,,Beauty,No email found. Domain: mariobadescu.com. Try LinkedIn or press page manually.
Cetaphil,,,,Beauty,No email found. Domain: cetaphil.com. Try LinkedIn or press page manually.
Aquaphor,,,,Beauty,No email found. Domain: aquaphor.com. Try LinkedIn or press page manually.
Tan-Luxe,,,,Beauty,No email found. Domain: tan-luxe.com. Try LinkedIn or press page manually.
St. Tropez,,,,Beauty,No email found. Domain: st-tropez.com. Try LinkedIn or press page manually.
Isle of Paradise,,,,Beauty,No email found. Domain: isleofparadise.com. Try LinkedIn or press page manually.
Sol de Janeiro,pr@soldejaneiro.com,PR Team,PR / Partnerships,Beauty,Beauty PR inbox | Domain: soldejaneiro.com
Dyson beauty,,,,Beauty,No email found. Domain: dyson.com. Try LinkedIn or press page manually.
Briogeo,,,,Beauty,No email found. Domain: briogeohair.com. Try LinkedIn or press page manually.
